audiofile;word;prev_phone;phone;next_phone;starttime;duration;centergravity;TEMPO;N;VD;VD_AP;VD_0S;VD_HAP;CONT_PREC;OCORRENCIA;CONT_SEGUINTE;ITEM_LEXICAL;TRANSC_FONOLOGICA_SILAC;CONT_FON_PREC;CONT_FON_SEG;CFS_ponto;TONICIDADE;POSICAO_S;CLASSE_MORFOLOGICA;STATUS_MORFOLOGICO;ARQUIVO;LOCALIZACAO;AMOSTRA;ESTADO;GENERO;IDADE;FAIXA_ETARIA;ESCOLARIDADE;IDADE_MIGRACAO;IDADE_MIGRACAO_fat;TEMPO_RESIDENCIA;TEMPO_RESIDENCIA_fat;INDICE_SOCIO;CLASSE_SOCIAL;QUAL_AUDIO;diferenca_tempo
PBCP_2018MB+_MatheusA;depois;j;s;d;2268,653;30;390;00:37:48.653;7098;0;NA;0;NA;para lá mas <A> S agora;depois <0>;do {D.} não não tenho;depois;de-'pojs;j;d;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:37:48;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,52999999999793e-01
PBCP_2018MB+_MatheusA;depois;j;s;#;2281,087;30;311;00:38:01.087;7098;0;NA;0;NA;para lá mas <A> S agora;depois <0>;do {D.} não não tenho;depois;de-'pojs;j;d;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:37:48;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,30870000000000e+01
PBCP_2018MB+_MatheusA;descarrega;e;s;k;1728,935;40;2417;00:28:48.935;7001;A;A;S;AP;quilo S ali em trinta te/;descarrega <A>;aqueles <A> caminhão S eles;descarrega;des-ka-'he-ga;e;k;posterior;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:28:48;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;9,34999999999945e-01
PBCP_2018MB+_MatheusA;descoberto;e;s;k;1941,270;50;2203;00:32:21.270;7038;A;A;S;AP;é? S é porque você ser;descoberto <A>;é perigoso né D1 ah;descoberto;des-ko-'ber-to;e;k;posterior;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:32:20;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,26999999999998e+00
PBCP_2018MB+_MatheusA;desde;e;s;d;1818,182;30;243;00:30:18.182;7022;A;A;S;AP;aí você está desde então S;desde <A>;lá que quando que eu;desde;'des-de;e;d;coronal;tonica;medial;preposicao;raiz;PBCP_2018MB+_MatheusA;00:30:18;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,82000000000016e-01
PBCP_2018MB+_MatheusA;desfrutar;e;s;f;2213,820;40;754;00:36:53.820;7089;A;A;S;AP;toda trabalhou agora tem que S;desfrutar <A>;também um pouco né D1;desfrutar;des-fRu-'tar;e;f;labial;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:36:53;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;8,20000000000164e-01
PBCP_2018MB+_MatheusA;desistiu;i;s;t;1923,096;30;409;00:32:03.096;7036;P;P;S;AP;meu primo começou fazer lá e;desistiu <P>;D1 entendi S ele parou;desistiu;de-zis-'tiw;i;t;coronal;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:32:01;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,09600000000000e+00
PBCP_2018MB+_MatheusA;desviar;e;s;v;2363,619;30;215;00:39:23.619;7110;A;A;S;AP;lá sempre dá um jeitinho de;desviar <A>;D1 eles estão em todo;desviar;des-vi-'ar;e;v;labial;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:39:22;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,61900000000014e+00
PBCP_2018MB+_MatheusA;deus;w;s;v;1824,296;70;631;00:30:24.296;7023;A;A;S;AP;estou <E> lá graças <A> a;deus <A>;viu D1 é bom quando;deus;'dews;w;v;labial;tonica;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:30:22;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,29600000000005e+00
PBCP_2018MB+_MatheusA;deus;w;s;#;2172,219;100;871;00:36:12.219;7079;A;A;S;AP;S qual é o nome meu;Deus <A>;S aqui perto de Ribeirão;deus;'dews;w;#;pausa;tonica;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:36:11;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,21900000000005e+00
PBCP_2018MB+_MatheusA;deus;w;s;k;2197,858;70;1869;00:36:37.858;7086;A;A;S;AP;Natal S eu quero conhecer se;deus <A>;quiser S Alagoas <0> D1;deus;'dews;w;k;posterior;tonica;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:36:37;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;8,58000000000175e-01
PBCP_2018MB+_MatheusA;discriminado;i;s;k;2399,712;30;5322;00:39:59.712;7117;A;A;S;AP;começo a gente é um pouco;discriminado <A>;né a gente percebe que;discriminado;dis-kRi-mi-'na-do;i;k;posterior;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:39:57;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,71199999999999e+00
PBCP_2018MB+_MatheusA;dispensar;i;s;p;1756,012;60;6712;00:29:16.012;7010;A;A;S;AP;<0> trinta dia e vão me;dispensar <A>;D1 ah é? D1 por;dispensar;dis-pE-'sar;i;p;labial;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:29:12;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;4,01199999999994e+00
PBCP_2018MB+_MatheusA;dispensar;i;s;p;2129,797;50;808;00:35:29.797;7076;A;A;S;AP;esperando <A> agora a firma me;dispensar <A>;para nós <A> ir S;dispensar;dis-pE-'sar;i;p;labial;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:35:28;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,79700000000003e+00
PBCP_2018MB+_MatheusA;duas;a;s;t;2071,665;40;746;00:34:31.665;7057;P;P;S;AP;S a gente fica lá é;duas <P>;três <A> semana quatro semanas;duas;'du-as;a;t;coronal;atona;final;numeral;raiz;PBCP_2018MB+_MatheusA;00:34:30;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,66499999999996e+00
PBCP_2018MB+_MatheusA;escola;e;s;k;1512,630;80;3134;00:25:12.630;6970;A;A;S;AP;um D1 uhum S em uma;escola <A>;onde é tempo integral né;escola;es-'ko-la;e;k;posterior;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:25:12;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,30000000000109e-01
PBCP_2018MB+_MatheusA;especial;e;s;p;1761,661;40;6496;00:29:21.661;7011;A;A;S;AP;ficar né a pessoa que aposenta;especial <A>;não pode ficar na empresa;especial;es-pe-si-'aw;e;p;labial;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:29:18;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,66100000000006e+00
PBCP_2018MB+_MatheusA;esperando;e;s;p;2128,977;50;637;00:35:28.977;7075;A;A;S;AP;não fui S eu estou <E>;esperando <A>;agora a firma me dispensar;esperando;es-pe-'RA-do;e;p;labial;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:35:28;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;9,76999999999862e-01
PBCP_2018MB+_MatheusA;esposa;e;s;p;1399,884;70;1183;00:23:19.884;6959;A;A;S;AP;tá S porque ele separou da;esposa <A>;né aí D1 mas ele;esposa;es-'po-za;e;p;labial;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:23:19;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;8,84000000000015e-01
PBCP_2018MB+_MatheusA;estado;e;s;t;2180,698;50;4501;00:36:20.698;7082;A;A;S;AP;estado não? S não para outro;estado <A>;não D1 daqui para o;estado;es-'ta-do;e;t;coronal;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:36:19;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,69799999999987e+00
PBCP_2018MB+_MatheusA;estressada;e;s;t;1209,303;30;924;00:20:09.303;6929;P;P;S;AP;mas S ela é mais <0>;estressada <P>;do que ele D1 bom;estressada;es-tRe-'sa-da;e;t;coronal;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:20:08;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,30300000000011e+00
PBCP_2018MB+_MatheusA;estresse;e;s;t;1444,664;40;1579;00:24:04.664;6963;P;P;S;AP;criança já nasce já no nesse;estresse <P>;desse mundo de hoje D1;estresse;es-'tRe-se;e;t;coronal;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:24:03;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,66399999999999e+00
PBCP_2018MB+_MatheusA;estudo;e;s;t;1237,170;50;906;00:20:37.170;6934;P;P;S;AP;velha chegaram a concluir os <A>;estudo <P>;né S mas <0> não;estudo;es-'tu-do;e;t;coronal;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:20:32;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;5,17000000000007e+00
PBCP_2018MB+_MatheusA;estudo;e;s;t;1833,018;50;942;00:30:33.018;7024;P;P;S;AP;a pessoa que não tem um;estudo <P>;é mais <0> difícil de;estudo;es-'tu-do;e;t;coronal;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:30:31;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,01800000000003e+00
PBCP_2018MB+_MatheusA;estudo;e;s;t;1841,804;50;485;00:30:41.804;7027;P;P;S;AP;S e não precisava de de;estudo <P>;nessa época não exigia hoje;estudo;es-'tu-do;e;t;coronal;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:30:40;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,80400000000009e+00
PBCP_2018MB+_MatheusA;estudou;e;s;t;1226,011;210;123;00:20:26.011;6932;0;NA;0;NA;casa da minha avó e aí;estudou <0>;um pouquinho mais <A> ela;estudou;es-tu-'dow;e;t;coronal;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:20:23;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,01099999999997e+00
PBCP_2018MB+_MatheusA;experiência;e;s;p;1847,820;30;126;00:30:47.820;7028;A;A;S;AP;experiência então S é tem a;experiência <A>;D1 conta mais até às;experiência;es-pe-Ri-'E-sia;e;p;labial;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:30:47;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;8,19999999999936e-01
PBCP_2018MB+_MatheusA;faz;a;s;f;1652,899;40;1478;00:27:32.899;6986;A;A;S;AP;<A> uma mulher em uma casa;faz <A>;falta viu S você pode;faz;'fas;a;f;labial;tonica;final;verbo;raiz;PBCP_2018MB+_MatheusA;00:27:31;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,89899999999989e+00
PBCP_2018MB+_MatheusA;faz;a;s;v;1742,938;30;311;00:29:02.938;7006;0;NA;0;NA;estava <E> falando hoje vai/ hoje;faz <0>;vinte seis <A> anos <A>;faz;'fas;a;v;labial;tonica;final;verbo;raiz;PBCP_2018MB+_MatheusA;00:29:01;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,93800000000010e+00
PBCP_2018MB+_MatheusA;gosta;c;s;t;2378,772;50;563;00:39:38.772;7114;P;P;S;AP;S é a pessoa que vem;gosta <P>;daqui e quer voltar é;gosta;'gos-ta;c;t;coronal;tonica;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:39:37;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,77199999999993e+00
PBCP_2018MB+_MatheusA;gosto;o;s;t;2126,013;40;170;00:35:26.013;7074;P;P;S;AP;vai S é S aí eu;gosto <P>;que sai de férias <A>;gosto;'gos-to;c;t;coronal;tonica;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:35:25;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,01299999999992e+00
PBCP_2018MB+_MatheusA;gosto;o;s;t;2221,050;100;170;00:37:01.050;7090;P;P;S;AP;morar aqui em Paulínia? S ah;gosto <P>;viu D1 por que que;gosto;'gos-to;c;t;coronal;tonica;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:37:00;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,05000000000018e+00
PBCP_2018MB+_MatheusA;gás;a;s;n;1710,473;50;318;00:28:30.473;6996;A;A;S;AP;que eu trabalho na firma de;gás <A>;né D1 uhum S aí;gás;'gas;a;n;coronal;tonica;final;substantivo;raiz;PBCP_2018MB+_MatheusA;00:28:29;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,47299999999996e+00
PBCP_2018MB+_MatheusA;hospital;o;s;p;1351,426;80;1752;00:22:31.426;6953;A;A;S;AP;<A> fácil assim de arrumar um;hospital <A>;se precisar de um médico;hospital;os-pi-'taw;o;p;labial;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:22:28;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,42599999999993e+00
PBCP_2018MB+_MatheusA;hospital;o;s;p;1364,170;40;766;00:22:44.170;6957;A;A;S;AP;tem carro né se precisar do;hospital <A>;é pertinho D1 uhum S;hospital;os-pi-'taw;o;p;labial;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:22:40;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;4,17000000000007e+00
PBCP_2018MB+_MatheusA;hospital;o;s;p;2248,464;60;1483;00:37:28.464;7095;A;A;S;AP;de um médico aí de um;hospital <A>;é tudo aqui é mais;hospital;os-pi-'taw;o;p;labial;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:37:26;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,46399999999994e+00
PBCP_2018MB+_MatheusA;industrial;u;s;t;1708,619;40;898;00:28:28.619;6997;A;A;S;AP;S aí eu trabalho com o;industrial <A>;S são aqueles <A> grandão;industrial;I-dus-tRi-'aw;u;t;coronal;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:28:31;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,38100000000009e+00
PBCP_2018MB+_MatheusA;industrial;u;s;t;1712,285;30;672;00:28:32.285;6997;A;A;S;AP;S aí eu trabalho com o;industrial <A>;S são aqueles <A> grandão;industrial;I-dus-tRi-'aw;u;t;coronal;atona;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:28:31;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,28500000000008e+00
PBCP_2018MB+_MatheusA;indústria;u;s;t;1715,243;40;302;00:28:35.243;7000;A;A;S;AP;que eles <A> leva só para;indústria <A>;D1 é o S aí;indústria;I-'dus-tRia;u;t;coronal;tonica;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:28:32;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,24299999999994e+00
PBCP_2018MB+_MatheusA;machista;i;s;t;1560,460;30;738;00:26:00.460;6973;A;A;S;AP;for aquele cara que é né;machista <A>;que não aceita isso aí;machista;ma-'kis-ta;i;t;coronal;tonica;medial;adjetivo;raiz;PBCP_2018MB+_MatheusA;00:25:58;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,46000000000004e+00
PBCP_2018MB+_MatheusA;mais;j;s;v;1235,450;30;452;00:20:35.450;6933;A;A;S;AP;a a maioria das <A> irmã;mais <A>;velha chegaram a concluir os;mais;'majs;j;v;labial;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:20:32;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,45000000000005e+00
PBCP_2018MB+_MatheusA;mais;j;s;d;1278,217;30;263;00:21:18.217;6940;0;NA;0;NA;quieta em casa não é muito;mais <0>;de sair né D1 uhum;mais;'majs;j;d;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:21:16;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,21700000000010e+00
PBCP_2018MB+_MatheusA;mais;j;s;#;1328,780;142;1723;00:22:08.780;6946;A;A;S;AP;S não ela hoje não mora;mais <A>;S a casa que ela;mais;'majs;j;#;pausa;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:07;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,77999999999997e+00
PBCP_2018MB+_MatheusA;mais;j;s;t;1330,767;30;346;00:22:10.767;6946;A;A;S;AP;S não ela hoje não mora;mais <A>;S a casa que ela;mais;'majs;j;#;pausa;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:07;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,76700000000005e+00
PBCP_2018MB+_MatheusA;mais;j;s;k;1338,711;50;61;00:22:18.711;6947;A;A;S;AP;S é ficar sozinha já era;mais <A>;complicado né D1 é S;mais;'majs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:17;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,71100000000001e+00
PBCP_2018MB+_MatheusA;mais;j;s;n;1344,679;30;310;00:22:24.679;6948;H;NA;S;H;das mais novas? S é da;mais <H>;nova é é a mais;mais;'majs;j;n;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:24;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,79000000000087e-01
PBCP_2018MB+_MatheusA;mais;j;s;n;1345,649;50;441;00:22:25.649;6948;H;NA;S;H;das mais novas? S é da;mais <H>;nova é é a mais;mais;'majs;j;n;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:24;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,64899999999989e+00
PBCP_2018MB+_MatheusA;mais;j;s;#;1350,506;130;3203;00:22:30.506;6954;0;NA;0;NA;né S e sítio já é;mais <0>;complicado D1 (xxx) S tem;mais;'majs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:33;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,49399999999991e+00
PBCP_2018MB+_MatheusA;mais;j;s;#;1354,841;30;324;00:22:34.841;6954;0;NA;0;NA;né S e sítio já é;mais <0>;complicado D1 (xxx) S tem;mais;'majs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:33;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,84099999999989e+00
PBCP_2018MB+_MatheusA;mais;j;s;f;1360,630;50;2257;00:22:40.630;6956;A;A;S;AP;sim com certeza S lá é;mais <A>;fácil que já tem o;mais;'majs;j;f;labial;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:40;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,30000000000109e-01
PBCP_2018MB+_MatheusA;mais;j;s;k;1419,013;50;1442;00:23:39.013;6961;A;A;S;AP;agora eu acho que vai demorar;mais <A>;que ele está <E> lá;mais;'majs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:23:37;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,01299999999992e+00
PBCP_2018MB+_MatheusA;mais;j;s;#;1451,070;30;316;00:24:11.070;6965;0;NA;0;NA;né as <A> criança era era;mais <0>;comportada do que hoje D1;mais;'majs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:24:08;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,06999999999994e+00
PBCP_2018MB+_MatheusA;mais;j;s;f;1516,761;40;2044;00:25:16.761;6971;A;A;S;AP;integral né S e S é;mais <A>;fácil né até para quem;mais;'majs;j;f;labial;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:25:16;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;7,60999999999967e-01
PBCP_2018MB+_MatheusA;mais;j;s;m;1602,799;40;660;00:26:42.799;6978;A;A;S;AP;também né D1 é mimado S;mais <A>;mimado S mas <A> é;mais;'majs;j;m;labial;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:26:42;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;7,98999999999978e-01
PBCP_2018MB+_MatheusA;mais;j;s;t;1755,132;30;309;00:29:15.132;7009;0;NA;0;NA;eu acho que vou ficar só;mais <0>;trinta dia e vão me;mais;'majs;j;t;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:29:12;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,13200000000006e+00
